spc_latin,latitude,longitude,tree_dbh
Gleditsia triacanthos var. inermis,40.78822705,-73.98100304,22
Zelkova serrata,40.78905669,-73.98087385,21
Pyrus calleryana,40.78664368,-73.97848998,21
Ulmus americana,40.78958235,-73.9807498,23
Quercus palustris,40.78149999,-73.97838893,22
Quercus palustris,40.78191437,-73.97904401,23
Quercus palustris,40.78141926,-73.97819761,23
Quercus palustris,40.7813793,-73.9781029,22
Pyrus calleryana,40.78086774,-73.9768906,22
Ulmus americana,40.79230427,-73.97765654,29
Tilia tomentosa,40.7932396,-73.97684297,34
Platanus x acerifolia,40.79182128,-73.9758356,22
Tilia cordata,40.79362216,-73.97701757,27
Tilia cordata,40.7940641,-73.97696952,28
Zelkova serrata,40.794978,-73.97662242,22
Tilia tomentosa,40.79384347,-73.97700433,26
Tilia cordata,40.79438509,-73.9766734,24
Ginkgo biloba,40.79334935,-73.9768392,25
Tilia cordata,40.79415503,-73.97674289,22
Pyrus calleryana,40.79114271,-73.97517553,22
Tilia cordata,40.79317264,-73.97702872,22
Acer platanoides,40.79311596,-73.97706664,22
Quercus palustris,40.79122348,-73.97430086,22
Ulmus americana,40.79246071,-73.97747944,25
Ulmus americana,40.79240372,-73.97749566,24
Tilia cordata,40.79343825,-73.97683614,24
Tilia cordata,40.79365458,-73.97682806,21
Ulmus americana,40.79223681,-73.97776309,33
Tilia cordata,40.79338944,-73.97702356,29
Tilia tomentosa,40.79427541,-73.97670653,25
Pyrus calleryana,40.78654674,-73.97256739,1
Styphnolobium japonicum,40.78628894,-73.97371538,22
Pyrus calleryana,40.78455318,-73.97155394,21
Ginkgo biloba,40.78641857,-73.97427137,21
Styphnolobium japonicum,40.78428146,-73.97090572,23
Tilia cordata,40.79958636,-73.97306469,26
Tilia cordata,40.79828018,-73.9740289,24
Tilia cordata,40.79762341,-73.97423743,24
Tilia cordata,40.79971556,-73.97290198,26
Tilia tomentosa,40.79802808,-73.97419306,32
Tilia cordata,40.79968408,-73.97297798,26
Tilia tomentosa,40.79859107,-73.97385109,28
Tilia cordata,40.79994963,-73.9726978,32
Tilia tomentosa,40.79943922,-73.9731517,30
Tilia cordata,40.79980201,-73.97281293,23
Tilia cordata,40.79921695,-73.97339256,23
Tilia cordata,40.79751061,-73.97423261,29
Tilia cordata,40.79817523,-73.9740825,25
Tilia cordata,40.79799058,-73.97417515,22
Tilia tomentosa,40.79939868,-73.97322815,54
Tilia americana,40.79949939,-73.97314044,37
Tilia cordata,40.79757046,-73.97426956,25
Tilia tomentosa,40.79864209,-73.97385439,36
Tilia cordata,40.79838505,-73.97397519,26
Tilia tomentosa,40.79904153,-73.97355101,34
Tilia cordata,40.79977486,-73.97288448,23
Tilia cordata,40.79780083,-73.97426397,31
Tilia cordata,40.79894293,-73.97362962,26
Tilia cordata,40.79790932,-73.97424183,28
Tilia americana,40.79744836,-73.97426055,36
Tilia cordata,40.79811784,-73.97414802,25
Tilia cordata,40.79931309,-73.97330499,26
Tilia tomentosa,40.79885044,-73.97370336,45
Tilia cordata,40.79912126,-73.97347972,25
Tilia cordata,40.7980829,-73.97412883,22
Tilia cordata,40.79768293,-73.97427424,21
Platanus x acerifolia,40.81238653,-73.96335829,29
Platanus x acerifolia,40.81233932,-73.96404255,30
Quercus palustris,40.81199083,-73.96403184,26
Ulmus americana,40.80832185,-73.96662853,22
Ulmus americana,40.80783343,-73.96702994,26
Ulmus americana,40.80795372,-73.96693986,41
Gleditsia triacanthos var. inermis,40.81236402,-73.96404331,24
Platanus x acerifolia,40.8117165,-73.96403939,37
Ulmus americana,40.81095852,-73.96442152,21
Ulmus americana,40.81044215,-73.96483632,29
Platanus x acerifolia,40.81242916,-73.96379663,23
Ulmus americana,40.81049981,-73.96479438,37
Platanus x acerifolia,40.81266255,-73.96312467,24
Ulmus americana,40.80830832,-73.96664088,43
Ulmus americana,40.80789443,-73.96698532,30
Platanus x acerifolia,40.81243185,-73.96376249,28
Ulmus americana,40.81085378,-73.9644977,41
Ulmus americana,40.81132278,-73.9641663,28
Ulmus americana,40.81001542,-73.96514884,21
Ulmus americana,40.81121502,-73.96427992,42
Platanus x acerifolia,40.81254505,-73.96321078,23
Ulmus americana,40.81115676,-73.96432037,31
Quercus rubra,40.80936361,-73.96562672,26
Ulmus americana,40.81079913,-73.96457666,34
Ulmus americana,40.80914613,-73.9657468,34
Gleditsia triacanthos var. inermis,40.81193047,-73.96402999,25
Ulmus americana,40.80845948,-73.96647719,40
Platanus x acerifolia,40.81258992,-73.96313862,24
Platanus x acerifolia,40.81250391,-73.96380683,29
Ulmus americana,40.80824517,-73.96669853,29
Gleditsia triacanthos var. inermis,40.81211706,-73.96403572,22
Ulmus americana,40.80830155,-73.96664706,36
Platanus x acerifolia,40.8125066,-73.96377269,24
Ulmus americana,40.80965138,-73.96541585,35
Ulmus americana,40.81145377,-73.96412067,32
Ulmus americana,40.80871886,-73.96616471,45
Gleditsia triacanthos var. inermis,40.8110408,-73.96440088,45
Ulmus americana,40.80807468,-73.96684712,33
Platanus x acerifolia,40.81264987,-73.96309468,24
Platanus x acerifolia,40.81250391,-73.96380683,26
Ulmus americana,40.81109849,-73.96436082,31
Platanus x acerifolia,40.81250556,-73.96377255,26
Gleditsia triacanthos var. inermis,40.81179871,-73.96403335,24
Ulmus americana,40.81061067,-73.96467453,25
Ulmus americana,40.81144513,-73.96408828,25
Ulmus americana,40.8090533,-73.96585411,38
Ulmus americana,40.80772068,-73.9671094,37
Ulmus americana,40.80881654,-73.96600815,31
Ulmus americana,40.80867093,-73.9662231,39
Platanus x acerifolia,40.81222682,-73.9640391,38
Platanus x acerifolia,40.81243432,-73.96330385,24
Ulmus americana,40.80777536,-73.96707087,22
Ulmus americana,40.81166928,-73.96404747,21
Platanus x acerifolia,40.8126026,-73.9631686,22
Platanus x acerifolia,40.812491,-73.96325296,22
Styphnolobium japonicum,40.78867068,-73.96930884,21
Ulmus parvifolia,40.78991169,-73.97062468,21
Ulmus parvifolia,40.78964205,-73.97153182,23
Ulmus americana,40.8047813,-73.96873689,32
Ulmus americana,40.80256147,-73.97032113,32
Ulmus americana,40.8026145,-73.97028313,27
Gleditsia triacanthos var. inermis,40.80311513,-73.96992524,21
Ulmus americana,40.80253013,-73.97034358,29
Ulmus americana,40.80405748,-73.96922107,33
Ulmus americana,40.80285605,-73.97011008,35
Ulmus americana,40.80267959,-73.9702365,30
Ulmus americana,40.8028232,-73.96994205,29
Gleditsia triacanthos var. inermis,40.80280157,-73.97014911,21
Ulmus americana,40.80429624,-73.96909741,32
Ulmus americana,40.80296996,-73.96998964,27
Ulmus americana,40.80292927,-73.97005765,33
Gleditsia triacanthos var. inermis,40.8029478,-73.96985044,21
Ulmus parvifolia,40.80435867,-73.96905498,26
Ulmus americana,40.80271719,-73.97020956,44
Quercus acutissima,40.78396252,-73.98224863,21
Ailanthus altissima,40.78353357,-73.97951135,25
Gleditsia triacanthos var. inermis,40.78513339,-73.98278282,21
Ailanthus altissima,40.78330838,-73.97897164,31
Styphnolobium japonicum,40.784928,-73.98032429,1
Ulmus americana,40.7904388,-73.9801235,43
Ulmus americana,40.79211512,-73.97792707,24
Ulmus americana,40.79217847,-73.97780161,29
Ulmus americana,40.79161338,-73.97875707,31
Ulmus americana,40.79123272,-73.9795037,26
Ulmus americana,40.79005734,-73.98040243,30
Ulmus americana,40.79094291,-73.97971563,25
Ulmus americana,40.79216568,-73.97788569,37
Ulmus americana,40.79033948,-73.98019612,22
Ulmus americana,40.79206434,-73.97804822,23
Quercus palustris,40.7900015,-73.97855464,24
Ulmus americana,40.79129635,-73.97925302,23
Platanus x acerifolia,40.78959164,-73.97719348,21
Ulmus americana,40.79185458,-73.97867208,26
Platanus x acerifolia,40.81305274,-73.96279944,26
Platanus x acerifolia,40.81281843,-73.96301044,28
Platanus x acerifolia,40.81309181,-73.96281009,24
Platanus x acerifolia,40.8136586,-73.96240733,23
Platanus x acerifolia,40.81284651,-73.96295058,31
Platanus x acerifolia,40.81305584,-73.96283645,29
Platanus x acerifolia,40.81277766,-73.96304031,32
Platanus x acerifolia,40.81272011,-73.96308249,24
Platanus x acerifolia,40.81358304,-73.96245041,30
Platanus x acerifolia,40.81384587,-73.96232761,23
Platanus x acerifolia,40.81270742,-73.9630525,23
Platanus x acerifolia,40.81276498,-73.96301033,27
Ulmus americana,40.7825057,-73.97308773,29
Platanus x acerifolia,40.78156039,-73.97558752,25
Platanus x acerifolia,40.78223042,-73.97250656,23
Tilia cordata,40.78441751,-73.97543263,21
Platanus x acerifolia,40.78202289,-73.97525071,27
Ulmus americana,40.7799316,-73.97444511,25
